yaw,pitch,roll
0.9387563163108723,-7.149344297894665,-3.1954908903090598
0.5486497706383077,-6.336190068645691,-3.052343029472638
-20.679746722779992,-8.576731462754946,-1.577832880243804
-38.456531800230465,-12.592280341319974,-0.5126985840035729
-34.42270745794377,-11.72759048173133,-1.9619930175994398
9.939938449079696,-8.184171834066596,1.6714208251465692
38.97978965193036,-7.77558536081479,2.441070225492794
44.26927947947693,-11.286370797222336,-0.8848824205084753
23.22457324824639,-7.324652924342373,1.4986936769084451
2.119521757680741,-5.245087798161593,0.1023909786351063
-2.765791313077177,-12.291684859993893,-2.3155321602686456
-2.765791313077177,-12.291684859993893,-2.3155321602686456
-0.8386892412237897,8.527805537940987,-0.8885754495227189
-1.5185909546481842,32.799447727782066,-2.8846541244215302
-13.505897758012761,0.9749257476972547,-3.6739983533796305
-13.505897758012761,0.9749257476972547,-3.6739983533796305
0.13415218894755881,-2.5241582139182963,-6.041902831384533
-1.325175081614127,12.873409635622258,-5.3139228674126855
-1.8927216868273145,-12.518588636583662,-4.084411664181701
-1.3111233867638585,-10.309285170124188,-5.1395828976369415
1.8694129117885914,-6.632283373812636,-9.849862881761837
0.2867376252159777,-6.943141285750594,-9.37014634120223
